,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Grand-Santi,GF,4.25,-54.3833,76.26,65,100,2.64,overcast clouds
348,Vyartsilya,RU,62.1764,30.693,27.09,95,51,4.85,broken clouds
349,Winnemucca,US,40.973,-117.7357,46.45,29,0,0.0,clear sky
350,Berdychiv,UA,49.8993,28.6024,34.03,99,100,10.8,snow
351,Inhambane,MZ,-23.865,35.3833,72.7,69,0,6.06,clear sky
352,Choya,RU,52.0108,86.5467,26.67,71,100,3.11,overcast clouds
353,Ahipara,NZ,-35.1667,173.1667,69.28,63,56,8.77,light rain
354,Aasiaat,GL,68.7098,-52.8699,11.26,92,100,5.88,overcast clouds
355,Vilaka,LV,57.1846,27.6722,31.03,74,65,5.39,broken clouds
356,Anshun,CN,26.25,105.9333,50.77,91,100,3.8,overcast clouds
357,Aljezur,PT,37.3191,-8.8033,65.5,87,100,10.85,overcast clouds
358,Lubuagan,PH,17.3548,121.1747,71.67,73,22,2.19,few clouds
359,Iwanai,JP,42.9744,140.5089,40.28,74,96,8.63,overcast clouds
360,Malakal,SS,9.5334,31.6605,75.69,35,18,5.3,few clouds
361,Pimenta Bueno,BR,-11.6725,-61.1936,79.34,65,76,4.81,broken clouds
362,Xam Nua,LA,20.4197,104.0439,63.36,99,52,1.5,broken clouds
363,Agadez,NE,19.75,10.25,62.62,26,4,8.95,clear sky
364,Makaha,US,21.4694,-158.2175,84.11,47,20,17.27,few clouds
365,Zhob,PK,31.3411,69.4481,48.9,42,0,3.91,clear sky
366,Waingapu,ID,-9.6567,120.2641,82.4,75,100,4.18,overcast clouds
367,Buy,RU,58.4786,41.53,27.27,96,100,2.59,light snow
368,Mahajanga,MG,-15.7167,46.3167,75.22,94,20,3.44,few clouds
369,High Level,CA,58.5169,-117.136,14.11,73,0,4.61,clear sky
370,Ramanuj Ganj,IN,23.8,83.7,57.33,62,0,3.76,clear sky
371,Fairfield,US,41.2668,-73.3162,44.83,70,75,10.36,broken clouds
372,Marathon,US,44.9,-89.7668,31.53,83,100,5.75,overcast clouds
373,Santa,PH,17.486,120.4348,83.01,65,17,5.82,few clouds
374,Pangody,RU,65.85,74.4859,2.86,85,99,9.28,overcast clouds
375,Faya,SA,18.3851,42.4509,53.71,61,0,2.68,clear sky
376,Raymore,US,38.8019,-94.4527,30.11,62,75,8.05,broken clouds
377,Santa Cruz,BO,-17.8,-63.1667,87.85,42,26,5.75,scattered clouds
378,Egvekinot,RU,66.3167,-179.1667,29.37,99,100,7.0,light snow
379,Puqi,CN,29.7167,113.8833,53.4,85,44,0.36,scattered clouds
380,Trairi,BR,-3.2778,-39.2689,78.78,70,8,11.86,clear sky
381,Black River,JM,18.0264,-77.8487,79.9,81,73,1.99,broken clouds
382,Luwuk,ID,-0.9516,122.7875,82.04,82,100,5.59,overcast clouds
383,Kourou,GF,5.1552,-52.6478,78.85,84,100,8.32,overcast clouds
384,Rybachiy,RU,48.7073,44.7449,37.26,67,100,4.09,overcast clouds
385,Bajil,YE,15.0584,43.2851,76.53,72,46,1.86,scattered clouds
386,Bubaque,GW,11.2833,-15.8333,82.53,73,100,8.55,overcast clouds
387,Noumea,NC,-22.2763,166.4572,85.98,76,98,9.44,overcast clouds
388,Catuday,PH,16.2923,119.8062,79.2,74,70,10.69,broken clouds
389,Leh,IN,34.1667,77.5833,17.42,88,95,0.83,overcast clouds
390,Filingue,NE,14.3521,3.3168,74.23,16,42,9.04,scattered clouds
391,Aswan,EG,24.0934,32.907,61.9,39,0,6.91,clear sky
392,Severo-Kurilsk,RU,50.6789,156.125,35.37,64,75,6.6,broken clouds
393,San Ignacio,BZ,17.1561,-89.0714,82.54,69,75,6.91,broken clouds
394,Pangnirtung,CA,66.1451,-65.7125,-1.88,82,75,3.09,broken clouds
395,Sept-Iles,CA,50.2001,-66.3821,27.12,78,100,8.05,overcast clouds
396,Kamenka,RU,51.3223,42.7678,31.1,99,100,4.79,light snow
397,Rio Gallegos,AR,-51.6226,-69.2181,57.25,47,0,36.82,clear sky
398,Sorland,NO,67.667,12.6934,44.46,53,71,11.5,broken clouds
399,North Platte,US,41.1239,-100.7654,39.11,50,100,12.66,overcast clouds
400,Amot,NO,59.5714,7.9877,31.77,87,100,7.0,overcast clouds
401,Srednekolymsk,RU,67.45,153.6833,-6.39,98,100,8.66,light snow
402,Taldan,RU,53.6667,124.8,6.76,94,100,3.96,overcast clouds
403,Goundam,ML,16.4145,-3.6708,75.94,16,55,7.36,broken clouds
404,Tazovskiy,RU,67.4667,78.7,-16.11,100,87,4.45,overcast clouds
405,Maragogi,BR,-9.0122,-35.2225,76.71,83,43,6.76,scattered clouds
406,Imbituba,BR,-28.24,-48.6703,65.23,68,0,4.21,clear sky
407,Sindor,RU,62.8629,51.8905,1.29,98,41,3.56,scattered clouds
408,Sola,VU,-13.8833,167.55,81.99,72,10,8.37,clear sky
409,Moindou,NC,-21.6924,165.677,80.49,72,97,5.37,overcast clouds
410,Avrig,RO,45.7167,24.3833,41.65,79,97,1.45,overcast clouds
411,Evensk,RU,61.95,159.2333,2.62,91,97,6.4,overcast clouds
412,Bataipora,BR,-22.2953,-53.2711,67.46,69,1,5.57,clear sky
413,Oranjemund,NA,-28.55,16.4333,59.63,89,18,10.96,few clouds
414,Ati,TD,13.2154,18.3353,74.41,21,32,10.51,scattered clouds
415,Matata,NZ,-37.8833,176.75,69.58,92,100,9.01,light rain
416,Yerbogachen,RU,61.2767,108.0108,6.62,96,100,2.62,overcast clouds
417,San Rafael Del Sur,NI,11.8485,-86.4384,81.57,77,28,11.18,scattered clouds
418,Xiangfan,CN,32.0422,112.1448,53.22,61,29,1.63,scattered clouds
419,La Ronge,CA,55.1001,-105.2842,17.85,73,100,18.41,light snow
420,Taltal,CL,-25.4,-70.4833,63.63,79,19,2.75,few clouds
421,Fort Nelson,CA,58.8053,-122.7002,22.59,50,40,2.3,scattered clouds
422,Vila,PT,42.0304,-8.1588,52.68,94,99,7.43,overcast clouds
423,Acapulco,MX,16.8634,-99.8901,80.47,83,13,4.72,few clouds
424,Maceio,BR,-9.6658,-35.7353,76.44,88,0,8.05,clear sky
425,Cochrane,CA,51.1834,-114.4687,28.67,64,20,25.32,few clouds
426,Gerardmer,FR,48.0735,6.8779,44.44,80,97,8.16,overcast clouds
427,Clyde River,CA,70.4692,-68.5914,3.43,85,100,21.85,light snow
428,Hofn,IS,64.2539,-15.2082,45.63,91,99,15.97,overcast clouds
429,General Roca,AR,-39.0333,-67.5833,77.63,24,58,5.28,broken clouds
430,Farafangana,MG,-22.8167,47.8333,73.08,84,99,8.1,overcast clouds
431,Grand Gaube,MU,-20.0064,57.6608,68.4,70,42,5.99,scattered clouds
432,Hasaki,JP,35.7333,140.8333,52.29,63,53,17.13,broken clouds
433,Achalpur,IN,21.2572,77.5086,65.01,45,0,5.5,clear sky
434,Kendari,ID,-3.945,122.4989,78.15,89,100,3.49,overcast clouds
435,Khoy,IR,38.5504,44.9535,43.86,68,30,5.14,scattered clouds
436,Port Blair,IN,11.6667,92.75,75.24,94,100,2.3,mist
437,Muroto,JP,33.2833,134.15,61.52,56,97,4.5,overcast clouds
438,Usinsk,RU,65.9939,57.5281,-10.55,95,7,9.42,clear sky
439,Akdepe,TM,42.0551,59.3788,32.09,54,89,12.15,overcast clouds
440,Hamadan,IR,34.7992,48.5146,34.68,100,40,4.61,scattered clouds
441,Kattivakkam,IN,13.2167,80.3167,73.49,75,34,9.73,scattered clouds
442,Sioux Lookout,CA,50.1001,-91.917,23.07,86,100,2.3,snow
443,Belmonte,BR,-15.8631,-38.8828,76.59,89,100,7.29,light rain
444,Jaciara,BR,-15.9653,-54.9683,80.49,40,32,6.98,scattered clouds
445,Cairns,AU,-16.9167,145.7667,93.07,57,1,4.61,clear sky
446,Guerrero Negro,MX,27.9769,-114.0611,73.18,29,0,6.73,clear sky
447,Kem,RU,64.9555,34.5793,32.59,89,83,6.2,broken clouds
448,Eyl,SO,7.9803,49.8164,76.6,74,10,11.23,clear sky
449,Waitati,NZ,-45.75,170.5667,55.8,99,100,3.56,overcast clouds
450,Bukachacha,RU,52.9833,116.9167,15.66,97,100,1.54,overcast clouds
451,Porto Novo,BJ,6.4965,2.6036,82.22,81,11,7.36,few clouds
452,Bilma,NE,18.6853,12.9164,66.16,24,2,3.8,clear sky
453,Katangli,RU,51.7102,143.2326,18.41,86,66,7.38,broken clouds
454,Dandong,CN,40.1292,124.3947,40.5,64,0,3.13,clear sky
455,Belur,IN,13.1667,75.8667,60.58,83,36,3.74,scattered clouds
456,Chambas,CU,22.1928,-78.9136,74.77,87,28,5.66,scattered clouds
457,Jackson,US,42.4165,-122.8345,61.86,29,0,1.01,clear sky
458,Yaan,NG,7.3833,8.5667,74.97,42,100,4.5,overcast clouds
459,Eastbourne,GB,50.7687,0.2845,56.48,88,98,5.01,overcast clouds
460,Labuhan,ID,-6.8844,112.2051,81.27,78,99,3.78,overcast clouds
461,Biltine,TD,14.5333,20.9167,70.83,27,41,7.74,scattered clouds
462,Methoni,GR,36.8197,21.7049,62.22,67,62,8.9,broken clouds
463,Polunochnoye,RU,60.8697,60.4153,-14.78,96,54,2.3,broken clouds
464,Arman,RU,59.7,150.1667,-1.98,89,97,9.01,overcast clouds
465,Taree,AU,-31.9,152.4667,68.05,46,15,9.22,few clouds
466,Eureka,US,40.8021,-124.1637,60.21,79,3,1.01,clear sky
467,Atbasar,KZ,51.8,68.3333,12.52,93,94,7.27,overcast clouds
468,Campbellsville,US,37.3434,-85.3419,38.17,46,94,1.01,overcast clouds
469,Aginskoye,RU,51.1,114.53,24.28,80,84,16.17,broken clouds
470,Gornyy,RU,55.1153,83.9059,23.02,95,98,11.23,light snow
471,Salalah,OM,17.0151,54.0924,73.49,56,0,4.61,clear sky
472,Mapiri,BO,-15.25,-68.1667,75.47,72,83,0.85,broken clouds
473,Tabas,IR,33.5959,56.9244,58.66,23,48,3.89,scattered clouds
474,Sur,OM,22.5667,59.5289,75.34,74,17,0.96,few clouds
475,Senneterre,CA,48.3835,-77.2328,22.05,93,100,6.26,overcast clouds
476,Imeni Zhelyabova,RU,58.9544,36.5956,27.63,95,100,5.99,light snow
477,Morena,IN,26.4969,78.0,61.83,41,0,5.5,clear sky
478,Dobryanka,RU,58.4619,56.4165,6.69,96,21,2.06,few clouds
479,Burnie,AU,-41.0667,145.9167,58.95,52,8,5.59,clear sky
480,Qaqortoq,GL,60.7167,-46.0333,9.45,89,46,3.56,scattered clouds
481,Senanga,ZM,-16.1167,23.2667,71.04,76,24,4.88,few clouds
482,Astoria,US,46.1879,-123.8313,57.15,54,0,8.01,clear sky
483,Inverell,AU,-29.7833,151.1167,63.66,40,28,4.0,scattered clouds
484,Thinadhoo,MV,0.5333,72.9333,81.07,72,85,11.5,overcast clouds
485,Samagaltay,RU,50.6022,95.0047,16.27,70,88,2.08,overcast clouds
486,High Rock,BS,26.6208,-78.2833,78.82,69,10,2.59,clear sky
487,Southbridge,US,42.0751,-72.0334,42.06,85,86,1.99,overcast clouds
488,Xacmaz,AZ,41.4635,48.806,49.32,69,86,3.65,overcast clouds
489,Semnan,IR,35.5729,53.3971,53.44,32,75,2.3,broken clouds
490,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,14.97,few clouds
491,Alice Springs,AU,-23.7,133.8833,69.35,73,40,9.22,scattered clouds
492,Dalianwan,CN,39.0286,121.695,51.84,76,0,4.47,clear sky
493,Haines Junction,CA,60.7522,-137.5108,17.55,86,86,0.0,overcast clouds
494,Shar,KZ,49.5886,81.0453,24.89,67,66,16.87,broken clouds
495,Bethanien,NA,-26.502,17.1583,66.58,23,3,2.24,clear sky
496,Uray,RU,60.1247,64.7758,-10.3,94,36,1.14,scattered clouds
497,Bowen,AU,-20.0167,148.2333,83.71,53,79,14.63,broken clouds
498,Baykit,RU,61.67,96.37,-6.57,98,100,3.8,overcast clouds
499,Kirakira,SB,-10.4544,161.9205,84.16,76,68,5.73,broken clouds
500,Balikpapan,ID,-1.2675,116.8289,79.79,89,20,3.44,few clouds
501,Tura,IN,25.5198,90.2201,61.21,88,0,3.94,clear sky
502,Abu Samrah,SY,35.3029,37.1841,56.66,75,49,1.21,scattered clouds
503,Volnoye,UA,47.6365,34.8139,46.38,94,100,8.77,light rain
504,Perene,PE,-10.9492,-75.2261,69.64,97,100,2.06,overcast clouds
505,Hervey Bay,AU,-25.2986,152.8535,76.01,34,29,14.0,scattered clouds
506,Ayagoz,KZ,47.9714,80.4392,21.42,71,37,15.48,scattered clouds
507,Rach Gia,VN,10.0167,105.0833,77.41,92,83,8.03,broken clouds
508,Atasu,KZ,48.6814,71.6433,19.69,91,100,14.76,overcast clouds
509,Palmer,US,42.1584,-72.3287,42.49,69,40,14.97,scattered clouds
510,Batemans Bay,AU,-35.7167,150.1833,59.09,40,6,7.18,clear sky
511,Korla,CN,41.7597,86.1469,38.98,46,100,5.84,overcast clouds
512,Haverfordwest,GB,51.8017,-4.9691,47.79,95,100,8.12,overcast clouds
513,Ambovombe,MG,-25.1667,46.0833,70.79,85,41,3.74,scattered clouds
514,Constantine,DZ,36.365,6.6147,60.21,77,75,5.75,broken clouds
515,Paamiut,GL,61.994,-49.6678,12.7,84,56,10.33,broken clouds
516,Creel,MX,27.75,-107.6333,49.82,45,0,9.64,clear sky
517,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,74.12,97,94,1.1,light rain
518,Tadine,NC,-21.55,167.8833,80.62,63,100,9.17,overcast clouds
519,El Dorado,US,38.7666,-120.5177,58.42,55,0,1.99,clear sky
520,Zhezkazgan,KZ,47.8043,67.7144,21.09,74,54,9.24,broken clouds
521,Arlit,NE,18.7369,7.3853,68.47,19,4,7.0,clear sky
522,Puerto Penasco,MX,31.3167,-113.5333,70.92,14,0,3.0,clear sky
523,Chapais,CA,49.7834,-74.8492,19.18,95,100,5.48,light snow
524,Vaxjo,SE,56.8777,14.8091,35.65,100,20,6.91,few clouds
525,Sulangan,PH,11.1373,123.7228,82.47,78,87,10.0,overcast clouds
526,Mandalgovi,MN,45.7625,106.2708,28.04,35,19,6.93,few clouds
527,Pundaguitan,PH,6.3711,126.1689,77.27,92,100,17.6,light rain
528,Ixtapa,MX,20.7,-105.2,79.23,76,1,3.0,clear sky
529,Bachaquero,VE,9.9694,-71.1494,80.6,83,99,5.06,overcast clouds
530,Nykoping,SE,58.753,17.0079,35.46,86,75,5.75,broken clouds
531,Hovd,MN,48.0056,91.6419,27.91,47,79,11.39,broken clouds
532,Santa Rosa,PH,14.3122,121.1114,84.02,79,72,11.39,broken clouds
533,San Patricio,US,28.017,-97.5169,51.67,64,100,8.28,overcast clouds
534,Bacsay,PH,15.65,120.3333,80.22,72,96,4.38,overcast clouds
535,Nishihara,JP,26.1842,127.7558,76.28,76,75,11.5,broken clouds
536,Ous,RU,60.9058,61.5186,-10.71,98,63,2.95,broken clouds
537,Coahuayana,MX,18.7333,-103.6833,79.18,78,0,3.27,clear sky
538,Tosya,TR,41.0155,34.0401,42.21,64,53,4.05,broken clouds
539,Olafsvik,IS,64.8945,-23.7142,44.26,72,77,21.68,broken clouds
540,Humaita,BR,-7.5061,-63.0208,78.19,81,99,0.87,overcast clouds
541,Saryozek,KZ,44.3583,77.9753,18.46,93,68,5.48,broken clouds
542,Fez,MA,34.0372,-4.9998,59.25,72,0,6.91,clear sky
543,Kaili,ID,-3.4626,120.2147,70.74,91,100,0.22,overcast clouds
544,Farafenni,GM,13.5667,-15.6,80.2,56,63,5.46,broken clouds
545,Bykovo,RU,55.6361,38.0803,24.57,93,75,2.24,broken clouds
546,Maturin,VE,9.75,-63.1767,75.04,100,99,3.44,overcast clouds
547,Preobrazheniye,RU,42.9019,133.9064,39.11,50,9,2.59,clear sky
548,Zhigansk,RU,66.7697,123.3711,-17.82,90,100,11.72,overcast clouds
549,Kokopo,PG,-4.352,152.2633,84.49,62,100,4.09,overcast clouds
550,Borba,BR,-4.3878,-59.5939,77.41,86,99,2.75,overcast clouds
551,Barra Do Corda,BR,-5.5,-45.25,82.71,57,90,1.43,overcast clouds
552,Jieshi,CN,22.8134,115.8257,71.98,85,76,11.95,broken clouds
553,Inta,RU,66.0317,60.1659,-9.54,86,15,9.86,few clouds
554,Altay,CN,47.8667,88.1167,30.16,92,100,12.44,snow
555,Rurrenabaque,BO,-14.4413,-67.5278,79.65,70,76,1.59,broken clouds
556,Tezu,IN,27.9167,96.1667,59.25,45,1,4.03,clear sky
557,Suoyarvi,RU,62.0833,32.35,29.03,93,85,6.98,overcast clouds
558,Bardiyah,LY,31.7561,25.0865,64.71,55,0,9.93,clear sky
559,Varnavino,RU,57.4035,45.0916,19.72,64,92,4.65,overcast clouds
560,Garden City,US,42.3256,-83.331,37.35,84,100,11.5,light snow
561,La Palma,US,33.8464,-118.0467,76.39,12,0,17.27,clear sky
562,Japura,ID,-0.3167,102.35,75.27,85,100,3.36,overcast clouds
563,Ames,US,42.0347,-93.6199,25.45,87,100,14.97,overcast clouds
564,Male,MV,4.1748,73.5089,76.95,94,100,5.75,overcast clouds
565,Kenai,US,60.5544,-151.2583,33.15,71,0,14.97,clear sky
566,Synya,RU,65.3718,58.0387,-14.13,94,7,5.64,clear sky
567,Qena,EG,26.1615,32.7183,65.35,45,100,5.57,overcast clouds
568,Verkhoyansk,RU,67.5447,133.385,-41.31,100,75,1.21,broken clouds
569,Camocim,BR,-2.9022,-40.8411,78.69,77,12,12.33,few clouds
570,Barras,BR,-4.2444,-42.2944,79.45,65,26,7.49,scattered clouds
